name,description,tag,image,url,twitter,rating,thoughts,new
36 Questions,"In this three-part podcast musical, a couple attempts to bring their marriage back from the brink of divorce using 36 revealing questions designed to make strangers fall in love.","#drama, #musical",https://is3-ssl.mzstatic.com/image/thumb/Music118/v4/7c/23/8d/7c238dc2-5890-2646-40a4-9cc01673fb12/source/500x500bb.jpg,https://www.twoupproductions.com/36-questions,twouppodcasts,5,If you like Rent or Dr Horrible you have to try this podcast. It is beautiful and intriguing and is over to soon.,TRUE
Against the Rules,"Journalist and bestselling author Michael Lewis takes a searing look at what’s happened to fairness—in financial markets, newsrooms, basketball games, courts of law, and much more. And he asks what’s happening to a world where everyone loves to hate the referee.",#economics,https://is4-ssl.mzstatic.com/image/thumb/Podcasts123/v4/d9/c5/5e/d9c55ef7-f1f9-4654-732d-b7a47e3e9296/mza_2369743394241048198.jpg/500x0w.jpg,https://atrpodcast.com/,pushkinpods,5,Feels very similar in tone to Malcom Gladwell's Revisionist History. Poking holes in some big areas of our life.,TRUE
Armchair Expert,"Hi, I’m Dax Shepard, and I love talking to people. I am endlessly fascinated by the messiness of being human, and I find people who are vulnerable and honest about their struggles and shortcomings to be incredibly sexy. I invite you to join me as I explore other people’s stories. We will celebrate, above all, the challenges and setbacks that ultimately lead to growth and betterment.","#interview, #leadership",https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/c2/88/3e/c2883e8c-fdaf-5e57-1217-869b79b0ee1a/source/500x500bb.jpg,https://armchairexpertpod.com/,ArmchairExpPod,5,Interviews with celebrities rarely speak to me. But this is different. Dax gets these highly successful people to open up in a way that is so candid and human. The end segments sometimes get a bit rambly but each one I've listened to leaves me with something to think deeply about.,TRUE
Business Wars,"Business is war. Sometimes the prize is your wallet, or your attention. Sometimes, it’s just the fun of beating the other guy. The outcome of these battles shapes what we buy and how we live. Business Wars gives you the unauthorized, real story of what drives these companies and their leaders, inventors, investors and executives to new heights -- or to ruin.","#business, #drama",https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/f3/81/8b/f3818b3b-47d4-5231-58c7-9a64481c0476/source/500x500bb.jpg,https://wondery.com/shows/business-wars/,wonderymedia,5,Audio drama of the real stories behind some of the world's biggest brands. David Brown makes the stories engaging and dramatic.,TRUE
Criminal,"Criminal is a podcast about crime. Not so much the ""if it bleeds, it leads,"" kind of crime. Something a little more complex. Stories of people who've done wrong, been wronged, and/or gotten caught somewhere in the middle. We're a proud member of Radiotopia, from PRX, a curated network of extraordinary, story-driven shows. Learn more at radiotopia.fm.",,http://is3.mzstatic.com/image/thumb/Music127/v4/d9/a8/2c/d9a82c55-a0d0-2b6c-f8e2-45609e7f42c8/source/500x500bb.jpg,http://thisiscriminal.com/,,5,Fav,FALSE
Dr. Death,"If you had back pain, and had tried everything else, Dr. Christopher Duntsch could give you the spine surgery that would take your pain away. But soon his patients started to experience complications, and the system failed to protect them. Which begs the question: who - or what - is that system meant to protect? DR. DEATH is a story about a charming surgeon, 33 patients and a spineless system. ","#crime, #health",https://is5-ssl.mzstatic.com/image/thumb/Music128/v4/ec/99/64/ec996492-dec4-5e86-69bc-c9984f512305/source/500x500bb.jpg,https://wondery.com/shows/dr-death/,drdeathwondery,5,"Simply horrific, but expertly examined and told. I couldn't stop.",TRUE
Good Night Stories for Rebel Girls,"A fairy tale podcast about the extraordinary women who inspire us. This show is based on Good Night Stories for Rebel Girls, the global best-selling book series written by Elena Favilli and Francesca Cavallo, inspiring millions of girls and women around the world to dream bigger, aim higher and fight harder.","#history, #women",https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/dd/e5/f6/dde5f6a2-ab1b-983c-1f4c-e9842a82e17e/source/500x500bb.jpg,https://www.rebelgirls.co/pages/podcast,rebelgirlsbook,5,"Inspiring and dramatically told, these are great little stories for anyone.",TRUE
Headlong,"Headlong is Dan Taberski’s documentary podcast that explores the lives of overlooked people, moments and events in our culture. Season 2 is Surviving Y2K. December 31, 1999: The world braced for disaster as midnight approached. Then, nothing happened. The hysteria over the Y2K computer bug quickly became an afterthought; a punch-line. In Surviving Y2K, Dan Taberski takes you back to the turn of the millennium to meet the people for whom it was anything but a joke — computer coders, conspiracy theorists, survivalists, and true believers — as they each face their own version of the apocalypse. And Dan tells a new millennium story of his own, about a decision that could destroy his life. ","#culture, #history",https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/57/08/6c/57086cd4-9595-629d-56e2-286348f24d52/source/500x500bb.jpg,https://www.headlongpodcast.com/,headlong,5,Such a captivating documentary of a focal point of my growing up years. Great perspectives and insights.,TRUE
How I Built This,"Guy Raz dives into the stories behind some of the world's best known companies. How I Built This weaves a narrative journey about innovators, entrepreneurs and idealists—and the movements they built.","#entrepreneur, #interview",https://is2-ssl.mzstatic.com/image/thumb/Music128/v4/27/8a/ef/278aefe8-3b4a-379e-ac9f-e76188529a5e/source/500x500bb.jpg,https://www.npr.org/podcasts/510313/how-i-built-this,HowIBuiltThis,5,Dives deep into the backstories of a wide variety of successful ventures. Lots of insights and Guy Raz makes it all so approachable.,TRUE
Invisibilia,"Invisibilia (Latin for invisible things) is about the invisible forces that control human behavior – ideas, beliefs, assumptions and emotions. Co-hosted by Lulu Miller, Hanna Rosin and Alix Spiegel, Invisibilia interweaves narrative storytelling with scientific research that will ultimately make you see your own life differently.",#psychology,http://is5.mzstatic.com/image/thumb/Music62/v4/f9/5a/c6/f95ac62d-accd-4228-d8f2-f5559f31bb69/source/500x500bb.jpg,http://www.npr.org/programs/invisibilia,,5,Fav,FALSE
More Perfect,More Perfect explores how cases inside the rarefied world of the Supreme Court affect our lives far away from the bench. ,#law,https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/ae/d4/c2/aed4c2e4-0b05-848c-723a-aa48a4eb1fbf/source/500x500bb.jpg,,,5,Fav,FALSE
Ologies,Take away a pocket full of science knowledge and some insane stories about what fuels these professional ologists' obsessions. Hosted by humorist and science correspondent Alie Ward.,"#science, #interviews",https://is2-ssl.mzstatic.com/image/thumb/Music128/v4/af/4f/9b/af4f9b61-fe9f-efd7-94e1-2d4b67dcb6f8/source/500x500bb.jpg,https://www.alieward.com/ologies,ologies,5,Deep and delightful. Alie Ward lets scientists reveal their passion and curiosity. Each episode is a time investment but so worth it.,TRUE
Proof,"We tell the weird and surprising and funny backstories around food and drink. The tales we haven’t all heard yet, the ones that have been lost, the under-told. This is not a recipe show. And this is not a show about celebrity chefs or what they like to eat. Proof goes beyond recipes and cooking to investigate the foods we love (tiki drinks) and don't love (the grain bowl); ask the big questions (where do food cravings come from?); and uncover the hidden backstories that feed your food-obsessed brain.","#food, #history",https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/bd/8d/2d/bd8d2d6e-86d8-8f74-5e17-ab8ccd5a02d4/source/500x500bb.jpg,https://www.americastestkitchen.com/proof,TestKitchen,5,Who knew the secret popular history of celery or the neuroscience behind fair food?Fascinating stories that are easy to sprinkle into lunchtime convos.,TRUE
Radiolab,"Radiolab is an investigation told through sounds and stories, and centered around one big idea. In the Radiolab world, information sounds like music and science and culture collide. Hosted by Jad Abumrad and Robert Krulwich, the show is designed for listeners who demand skepticism, but appreciate wonder.","#fav, #science",http://is1.mzstatic.com/image/thumb/Music127/v4/e2/e0/ea/e2e0ead8-a98b-788d-c384-cc4cdc01aaaf/source/500x500bb.jpg,http://www.radiolab.org/series/podcasts/,,5,Fav,FALSE
Reply All,"""'A podcast about the internet' that is actually an unfailingly original exploration of modern life and how to survive it. "" - The Guardian. Hosted by PJ Vogt and Alex Goldman, from Gimlet.","#fav, #tech",http://is2.mzstatic.com/image/thumb/Music111/v4/6c/9e/5f/6c9e5f7e-aed2-b477-516d-af319c09aa49/source/500x500bb.jpg,http://gimletmedia.com/shows/reply-all,,5,Fav,FALSE
